Bus Name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat Availability,Bus Link,Bus Route,State Name
Kadamba Transport Corporation Limited (KTCL) - 41258,Non AC Seater 2+2,19:00,05:00,10h 00m,600,5.0,7,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),19:45,07:55,12h 10m,600,4.6,15,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Anand Tours And Travels,Non A/C Seater / Sleeper (2+1),19:00,06:50,11h 50m,500,4.1,13,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:30,08:05,12h 35m,600,4.3,18,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Travels,Bharat Benz A/C Sleeper (2+1),18:50,08:30,13h 40m,900,4.3,12,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),20:30,09:40,13h 10m,900,4.3,10,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:15,09:35,12h 20m,900,4.0,14,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:40,09:00,12h 20m,1001,4.1,18,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:00,12h 30m,900,4.0,8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),19:30,08:00,12h 30m,900,4.5,10,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:20,10:00,12h 40m,1050,4.1,12,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Travels,Non A/C Seater / Sleeper (2+1),19:25,08:50,13h 25m,550,4.4,5,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Indumati Travels,A/C Sleeper (2+1),20:25,08:30,12h 05m,903,4.3,9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),18:50,07:30,12h 40m,900,4.1,6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Laxmi Queen Asta,A/C Sleeper (2+1),19:15,08:00,12h 45m,900,4.0,12,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Vip Yellows,A/C Sleeper (2+1),18:50,08:00,13h 10m,900,4.1,4,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),22:30,10:00,11h 30m,1000,4.3,9,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),19:30,07:55,12h 25m,1001,4.1,8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),22:30,10:55,12h 25m,900,4.4,6,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Abhishek Vishal Travels,A/C Sleeper (2+1),21:35,08:40,11h 05m,900,4.3,2,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
